index,nearest_x,nearest_y,station_id,x,y,centrality,centrali_1,docks_num
"Wenlock Road , Hoxton",532306.402924617053941,183062.787264090991812,41.000000000000000,532306.402924617053941,183062.787264090991812,0.026364662541415,0.128268991282690,"28"
"Crawford Street, Marylebone",527953.837187877972610,181752.599151166999945,42.000000000000000,527953.837187877972610,181752.599151166999945,0.036264453673453,0.140722291407223,"18"
"Bruton Street, Mayfair",528880.304793313029222,180723.996524774003774,43.000000000000000,528880.304793313029222,180723.996524774003774,0.034045665261212,0.070983810709838,"21"
"Boston Place, Marylebone",527593.319115389022045,182000.533053123013815,44.000000000000000,527593.319115389022045,182000.533053123013815,0.023659603316888,0.241594022415940,"26"
"Nesham Street, Wapping",534249.341376323020086,180467.134931912005413,45.000000000000000,534249.341376323020086,180467.134931912005413,0.026423733268600,0.130759651307597,"16"
"Warwick Avenue Station, Maida Vale",526092.396471061045304,182056.136986872996204,46.000000000000000,526092.396471061045304,182056.136986872996204,0.009825097415358,0.136986301369863,"19"
"Godliman Street, St. Paul's",532005.452526496956125,180996.887338742992142,47.000000000000000,532005.452526496956125,180996.887338742992142,0.051236890416520,0.114570361145704,"25"
"Curzon Street, Mayfair",528769.578966837027110,180314.093496067012893,48.000000000000000,528769.578966837027110,180314.093496067012893,0.045583847551782,0.104607721046077,"16"
"East Road, Hoxton",532757.589711835957132,182819.660189854999771,49.000000000000000,532757.589711835957132,182819.660189854999771,0.019042344001836,0.085927770859278,"27"
"Finsbury Library , Finsbury",531602.512747806962579,182564.957739675010089,50.000000000000000,531602.512747806962579,182564.957739675010089,0.031569261929731,0.070983810709838,"29"
"Roscoe Street, St. Luke's",532256.340869078994729,182165.843277003004914,51.000000000000000,532256.340869078994729,182165.843277003004914,0.027343993229826,0.105853051058531,"18"
"Grafton Street, Mayfair",528933.064764512004331,180636.588990235002711,52.000000000000000,528933.064764512004331,180636.588990235002711,0.037705574002323,0.070983810709838,"18"
"Golden Lane, Barbican",532303.140402839053422,182036.324288911011536,53.000000000000000,532303.140402839053422,182036.324288911011536,0.027953657006451,0.098381070983811,"27"
