index,finance,leisure,residence,restaurant,shopping,university
"Hop Exchange, The Borough",3,5,4,18,9,2
"Horseferry Road, Westminster",1,1,1,2,2,0.00001
"Hortensia Road, West Brompton",0.00001,3,1,1,11,0.00001
"Houghton Street, Strand",2,8,1,6,2,0.00001
"Houndsditch, Aldgate",1,5,3,2,1,0.00001
"Howick Place, Westminster",0.00001,0.00001,0.00001,0.00001,1,0.00001
"Howland Street, Fitzrovia",0.00001,2,2,0.00001,0.00001,0.00001
"Hoxton Station, Hoxton",0.00001,1,1,0.00001,2,0.00001
"Hoxton Street, Hoxton",0.00001,0.00001,0.00001,1,0.00001,0.00001
"Humbolt Road, Fulham",0.00001,0.00001,0.00001,1,1,0.00001
"Hurlingham Park, Parsons Green",0.00001,0.00001,0.00001,1,0.00001,0.00001
"Ilchester Gardens, Bayswater",0.00001,1,1,3,5,0.00001
"Ilchester Place, Kensington",0.00001,1,5,0.00001,0.00001,0.00001
"Imperial College, Knightsbridge",1,1,9,1,2,0.00001
"Imperial Wharf Station, Sands End",2,4,1,1,1,0.00001
"Import Dock, Canary Wharf",6,4,2,10,16,0.00001
"Ingrave Street, Clapham Junction",0.00001,2,0.00001,0.00001,2,0.00001
"Irene Road, Parsons Green",0.00001,2,0.00001,3,7,0.00001
"Islington Green, Angel",3,13,4,35,9,0.00001
"Jewry Street, Aldgate",0.00001,0.00001,1,0.00001,0.00001,0.00001
"Jubilee Crescent, Cubitt Town",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Jubilee Plaza, Canary Wharf",6,10,0.00001,12,14,0.00001
"Jubilee Street, Stepney",1,1,0.00001,0.00001,0.00001,0.00001
"Kennington Lane Rail Bridge, Vauxhall",3,7,0.00001,4,7,0.00001
"Kennington Oval, Oval",1,4,2,0.00001,1,0.00001
"Kennington Road  , Vauxhall",0.00001,2,2,2,4,0.00001
"Kennington Road Post Office, Oval",1,1,1,2,3,1
"Kennington Station, Kennington",0.00001,1,0.00001,0.00001,1,0.00001
"Kensington Church Street, Kensington",1,4,3,6,14,0.00001
"Kensington Gore, Knightsbridge",0.00001,3,2,1,0.00001,0.00001
"Kensington Olympia Station, Olympia",0.00001,1,1,0.00001,1,0.00001
"Kensington Town Hall, Kensington",0.00001,0.00001,1,0.00001,0.00001,0.00001
"Killick Street, King's Cross",0.00001,3,1,3,4,0.00001
"King Edward Street, St Pauls",2,8,10,3,5,0.00001
"King Edward Walk, Waterloo",0.00001,3,1,1,4,0.00001
"Kingsway, Covent Garden",0.00001,0.00001,1,4,1,0.00001
"Knaresborough Place, Earl's Court",2,5,4,6,10,1
"Ladbroke Grove Central, Ladbroke Grove",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Lambeth North Station, Waterloo",1,3,2,6,9,0.00001
"Lambeth Palace Road, Waterloo",1,7,0.00001,2,2,1
"Lambeth Road, Vauxhall",0.00001,1,1,2,1,0.00001
"Lancaster Drive, Blackwall",0.00001,2,0.00001,0.00001,1,0.00001
"Lancaster Gate , Bayswater",0.00001,0.00001,3,0.00001,0.00001,0.00001
"Langdon Park, Poplar",0.00001,1,1,0.00001,1,0.00001
"Lansdowne Drive, Hackney Central",0.00001,0.00001,0.00001,0.00001,1,0.00001
"Lansdowne Road, Ladbroke Grove",1,2,2,2,4,0.00001
"Lansdowne Walk, Ladbroke Grove",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Lavington Street, Bankside",0.00001,2,0.00001,3,0.00001,0.00001
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",0.00001,4,0.00001,0.00001,0.00001,0.00001
"Leman Street, Aldgate",1,1,0.00001,1,2,0.00001
"Leonard Circus , Shoreditch",3,3,0.00001,5,1,0.00001
"Lexham Gardens, Kensington",0.00001,2,3,0.00001,8,0.00001
"Lightermans Road, Millwall",1,6,1,3,3,1
"Limburg Road, Clapham Junction",2,6,1,18,17,0.00001
"Limerston Street, West Chelsea",1,1,0.00001,5,8,0.00001
"Lincoln's Inn Fields, Holborn",1,2,3,9,7,0.00001
"Lindfield Street, Poplar",0.00001,0.00001,0.00001,0.00001,2,0.00001
"Little Argyll Street, West End",4,11,5,18,29,3
"Little Brook Green, Brook Green",2,2,0.00001,1,2,0.00001
"Liverpool Road (N1 Centre), Angel",8,2,0.00001,6,12,0.00001
"LMU Commercial Road, Whitechapel",0.00001,1,0.00001,2,1,0.00001
